자전거번호,대여 대여소번호,대여 대여소명,from_lat,from_lng,반납일시,반납대여소번호,반납대여소명,to_lat,to_lng
SPB-63878,2428,롯데리아 개포점앞,37.48236847,127.0611877,2022.12.1 1:55,2413,도곡역 1번 출구,37.49095917,127.0549851
SPB-63466,2428,롯데리아 개포점앞,37.48236847,127.0611877,2022.12.1 2:18,2413,도곡역 1번 출구,37.49095917,127.0549851
SPB-51067,2723,마곡 필네이처,37.56089401,126.8366928,2022.12.1 4:24,2723,마곡 필네이처,37.56089401,126.8366928
SPB-34303,2715,마곡나루역 2번 출구,37.56692505,126.8274384,2022.12.1 2:13,2715,마곡나루역 2번 출구,37.56692505,126.8274384
SPB-55538,2715,마곡나루역 2번 출구,37.56692505,126.8274384,2022.12.1 5:45,2740,마곡레포츠센터,37.57297516,126.8324432
SPB-31996,2730,마곡메가박스 앞,37.55912781,126.8349533,2022.12.1 1:10,2720,힐스테이트에코,37.55965805,126.8296051
SPB-63811,2732,마곡수명산 1-2단지,37.5553093,126.8298569,2022.12.1 5:42,2731,명덕고교,37.55524063,126.8347168
SPB-58012,2718,마곡수명산파크1단지,37.55519104,126.8314667,2022.12.1 5:20,2728,마곡나루역 3번 출구,37.56580353,126.8280792
SPB-55834,3553,마장역3번출구,37.565979,127.0431137,2022.12.1 1:32,3553,마장역3번출구,37.565979,127.0431137
SPB-48071,1469,먹골역 4번출구,37.60982132,127.0781326,2022.12.1 1:38,1472,영성빌딩(PAT),37.60408401,127.0792313
SPB-65381,1469,먹골역 4번출구,37.60982132,127.0781326,2022.12.1 5:15,670,삼육서울병원 버스정류장,37.58968735,127.061409
SPB-49324,1468,먹골역 7번 출구,37.6114769,127.0773926,2022.12.1 0:32,1381,석계역 4번출구 뒤,37.61478424,127.0670013
SPB-44536,2531,멤피스아파트 앞,37.49420547,126.989357,2022.12.1 1:29,2540,반포천 앞,37.49905014,126.996254
SPB-65903,797,목동아파트 1422동 1434동 사잇길,37.51515579,126.8724899,2022.12.1 3:39,792,목동트라팰리스 웨스턴에비뉴,37.52537155,126.8709259
SPB-59064,797,목동아파트 1422동 1434동 사잇길,37.51515579,126.8724899,2022.12.1 5:48,797,목동아파트 1422동 1434동 사잇길,37.51515579,126.8724899
SPB-54433,797,목동아파트 1422동 1434동 사잇길,37.51515579,126.8724899,2022.12.1 6:07,770,목동역5번출구 교통정보센터 앞,37.52571487,126.8648682
SPB-51878,796,목동아파트 14단지 B상가 앞,37.5146637,126.8719406,2022.12.1 1:22,794,양천문화회관,37.51686478,126.8629608
SPB-61673,771,목동아파트 703동 앞,37.52820587,126.870163,2022.12.1 1:37,771,목동아파트 703동 앞,37.52820587,126.870163
SPB-32224,786,목동아파트 8단지 상가동 앞,37.52007294,126.8683014,2022.12.1 1:03,769,CBS방송국 앞,37.52785492,126.8746719
